时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,NN LC VV term CC term DEG AD VC NN CC NN
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结 成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆 侵入 — 风化 剥蚀,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆 侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆 侵入 — 地壳 抬升 — 固结 成岩,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,,0 2,5,经纬网 的 纬线 间距 为 3°,经纬网 的 纬线 间距 为 3°,term DEG term NN VC num
,,0 2,5,经纬网 的 纬线 间距 为 5°,经纬网 的 纬线 间距 为 5°,term DEG term NN VC num
,,0 2,5,经纬网 的 纬线 间距 为 8°,经纬网 的 纬线 间距 为 8°,term DEG term NN VC num
,,0 2,5,经纬网 的 纬线 间距 为 10°,经纬网 的 纬线 间距 为 10°,term DEG term NN VC num
,,4 12,,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,图 上 标出 的 经纬网 格区 中 ② 与 ③ 都 处于 暖温带,NN LC VV DEC term NN LC NN CC NN AD VV term
,,4 9,,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,图 上 标出 的 经纬网 格区 中 随 地球 自转 ， ③ 的 角速度 比 ④ 小,NN LC VV DEC term NN LC P NN term PU NN DEG NN P NN VA
7,,4 13,,图 上 标出 的 经纬网 格区 中 从春分到夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 春分 到 夏至 ， ① 比 ④ 的 昼长 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA
7,,4 13,,图 上 标出 的 经纬网 格区 中 从夏至到秋分 ， ② 比 ⑤ 的 正午太阳高度角 变化 幅度 大,图 上 标出 的 经纬网 格区 中 从 夏至 到 秋分 ， ② 比 ⑤ 的 正午 太阳 高度 角 变化 幅度 大,NN LC VV DEC term NN LC time PU NN P NN DEG term NN NN VA
,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,人口 密度 差值 最 大 的 两 个 网格区 是 ① 和 ④,NN NN NN AD VA DEC CD M NN VC NN CC NN
,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,人口 密度 差值 最 大 的 两 个 网格区 是 ② 和 ③,NN NN NN AD VA DEC CD M NN VC NN CC NN
,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ③ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN
,,,,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,人口 密度 差值 最 大 的 两 个 网格区 是 ④ 和 ⑤,NN NN NN AD VA DEC CD M NN VC NN CC NN
,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ①,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN
,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ②,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN
,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ④,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN
,,10,,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,从 地形 和 降水 条件 分析 ， 最 易 发生 泥石流 的 网格区 是 ⑤,P NN CC NN NN VV PU AD VA VV term DEC NN VC NN
0,4,5,,由08时到20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风向 偏北 ， 风力 逐渐 减弱,time PU NN LC loc term VA PU NN AD VV
0,4,5,,由08时到20时 ， 图 中 ①地 风向 偏北,由 08时 到 20时 ， 图 中 ①地 风向 偏北,time PU NN LC loc term VA
0,4,5,,由08时到20时 ， 图 中 ①地 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风力 逐渐 减弱,time PU NN LC loc term AD VV
0,4,6,,由08时到20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,time PU NN LC loc VV term NN PU NN VV VV
0,4,6,,由08时到20时 ， 图 中 ②地 受 高压脊 控制,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制,time PU NN LC loc VV term NN
0,4,,,由08时到20时 ， 图 中 ②地 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 天气 持续 晴朗,time PU NN LC loc NN VV VV
0,,4,,由08时到20时 ， 图 中 低气压中心 向 东北 方向 移动 并 增强,由 08时 到 20时 ， 图 中 低 气压 中心 向 东北 方向 移动 并 增强,time PU NN LC term P NN NN VV CC VV
0,,4 6,,由08时到20时 ， 图 中 气旋中心 附近 暖锋 移动 快于 冷锋,由 08时 到 20时 ， 图 中 气旋 中心 附近 暖锋 移动 快于 冷锋,time PU NN LC term NN term NN VV NN
,0,2,,乍得湖 流域 河流径流量 的 季节 变化 小,乍得湖 流域 河流 径流量 的 季节 变化 小,loc NN term DEG NN NN VA
,0,,,乍得湖 流域 河水 主要 来源于 冰雪 融水,乍得湖 流域 河水 主要 来源于 冰雪 融水,loc NN NN AD VV NN NN
,0,2 4,,乍得湖 流域 地表径流 参与 海陆间水循环,乍得湖 流域 地表 径流 参与 海陆 间 水循环,loc NN term VV term
,0,5,,乍得湖 流域 水面 蒸发 参与 陆地内水循环,乍得湖 流域 水面 蒸发 参与 陆地 内 水循环,loc NN NN NN VV term
,,,,根据 图 中 信息 可以 判断 流域 面积 缩小,根据 图 中 信息 可以 判断 流域 面积 缩小,P NN LC NN VV VV NN NN VV
,,,,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,P NN LC NN VV VV NN NN NN VV
,,9,,根据 图 中 信息 可以 判断 流域 主体 位于 热带荒漠,根据 图 中 信息 可以 判断 流域 主体 位于 热带 荒漠,P NN LC NN VV VV NN NN VV term
6,,,,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,P NN LC NN VV VV time LC NN NN VA PU NN VA
,,,,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈 正 相关,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈 正 相关,DT NN NN NN DEG JJ NN CC NN NN VV AD VA
,,,,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,DT NN NN NN DEG NN NN VC NN VA DEC NN
,,,,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,DT NN NN NN DEG NN VC NN CC NN NN DEG NN
,,,,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,DT NN NN NN DEG NN VV VV NN NN P NN VV NN
5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 建筑物 占地 面积 增加,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 建筑物 占地 面积 增加,P NN VV VV PU time DT NN NN NN NN VV
5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 南北部 道路 密度 差异 加大,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 南北部 道路 密度 差异 加大,P NN VV VV PU time DT NN NN NN NN NN VV
5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 商业区 向 城区 中心 集中,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 商业区 向 城区 中心 集中,P NN VV VV PU time DT NN NN P NN NN VV
5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 空间 形态 没有 发生 变化,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 空间 形态 没有 发生 变化,P NN VV VV PU time DT NN NN NN VE VV NN
